<09:53:35> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:16> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:16> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:18> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:18> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:20> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:20> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:22> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:22> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:24> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:24> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:31> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:31> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:32> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:32> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:34> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:34> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:07:36> Starting production...
